Deletion	Insertion	Substitution
0.044128	0.013779	0.019531
0.061718	0.026252	0.016038
0.05648	0.022119	0.033482
0.079188	0.01675	0.026549
0.102675	0.031556	0.058214
0.02439	0.01438	0.007647
0.07288	0.010041	0.014891
0.038767	0.013172	0.003475
0.064641	0.041558	0.018821
0.051453	0.00611	0.01651
0.070543	0.001619	0.006905
0.073968	0.017713	0.018297
0.054579	0.010109	0.055025
0.029165	0.01722	0.001639
0.018188	0.006381	0.058273
0.060703	0.027028	0.01518
0.016614	0.007354	0.023903
0.03227	0.013921	0.004171
0.149714	0.098609	0.080047
0.135728	0.078976	0.033465
0.087963	0.053944	0.046562
0.10031	0.02922	0.023626
0.085526	0.005039	0.006626
0.054332	0.024241	0.099438
0.066942	0.018203	0.002717
0.117951	0.026786	0.006266
0.066927	0.035994	0.06411
0.157646	0.03193	0.052119
0.039537	0.018575	0.013129
0.048979	0.008115	0.011557
0.139368	0.001916	0.022137
0.131056	0.010928	0.015585
0.03412	0.013847	0.009975
0.087158	0.014343	0.004964
0.035506	0.005709	0.007117
0.049903	0.019762	0.01011
0.037272	0.005902	0.056147
0.079254	0.008452	0.014539
0.048327	0.016603	0.018972
0.071563	0.01749	0.027583
0.04722	0.016222	0.025483
0.029765	0.017569	0.007851
0.042794	0.011032	0.017418
0.023295	0.008086	0.022323
0.053819	0.011278	0.032587
0.0377	0.010287	0.044962
0.136426	0.01872	0.004467
0.038014	0.010578	0.01836
0.07092	0.020763	0.005994
0.026866	0.012375	0.024913
0.035202	0.018976	0.02019
0.064975	0.014951	0.01234
0.074968	0.006102	0.003999
0.052537	0.020785	0.034224
0.128097	0.02862	0.034643
0.065391	0.012888	0.09331
0.078734	0.018772	0.041344
0.080425	0.010056	0.017374
0.05577	0.010512	0.017473
0.037601	0.008903	0.011506
0.130217	0.006478	0.025204
0.049285	0.010475	0.059862
0.04192	0.018163	0.017464
0.044753	0.022698	0.014316
0.063117	0.015361	0.020408
0.044203	0.012999	0.050082
0.053087	0.009383	0.009298
0.037794	0.014303	0.012574
0.052487	0.02911	0.045384
0.059694	0.00674	0.017777
0.055566	0.025172	0.015865
0.029356	0.002623	0.022636
0.05346	0.011033	0.014701
0.050209	0.019177	0.023274
0.046846	0.006578	0.013431
0.092777	0.005119	0.037093
0.063975	0.019452	0.025587
0.050529	0.027139	0.011933
